Rank	Taxonpath	Taxon	Pelagic01_2000uM	Pelagic01_1000uM	Pelagic1_500uM	Pelagic1_100uM	Pelagic1_Placa	LEK-01_Placa	LEK-01_100uM	LEK-01_500uM	LEK-02_Placa	LEK-02_100uM	LEK-02_500uM	LEK-02_2000uM	LEK-03_Placa	LEK-03_100uM	LEK-03_500uM	LEK-03_2000uM	PAS-01_Placa	PAS-01_100uM	PAS-01_500uM	PAS-02_Placa	PAS-02_100uM	PAS-02_500uM	PAS-02_2000uM	PAS-03_Placa	PAS-03_100uM	PAS-03_500uM	PAS-03_2000uM	ZUM-01_Placa	ZUM-01_100uM	ZUM-01_500uM	ZUM-01_2000uM	ZUM-02_Placa	ZUM-02_100uM	ZUM-02_500uM	ZUM-02_2000uM	ZUM-03_Placa	ZUM-03_100uM	ZUM-03_500uM
order	Cellular organisms;Eukaryota;Amorphea;Metazoa;Mollusca;Gastropoda;Cerithiopsidae	Cerithiopsidae	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
order	Cellular organisms;Eukaryota;Amorphea;Metazoa;Mollusca;Gastropoda;Triphoridae	Triphoridae	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
order	Cellular organisms;Eukaryota;Amorphea;Metazoa;Mollusca;Gastropoda;Littorinimorpha	Littorinimorpha	None	None	None	None	None	None	None	None	4.0	None	4.5	None	3.0	None	4.0	None	None	None	None	None	3.0	None	None	None	None	None	3.5	2.5	None	None	None	None	None	None	1.0	None	3.0	None
order	Cellular organisms;Eukaryota;Amorphea;Metazoa;Mollusca;Gastropoda;Neogastropoda	Neogastropoda	None	None	None	None	None	None	None	None	3.5	None	None	None	2.5	None	None	4.0	None	6.0	None	None	None	None	None	None	None	None	None	None	2.5	None	6.25	None	None	4.0	2.0	None	None	None
order	Cellular organisms;Eukaryota;Amorphea;Metazoa;Mollusca;Gastropoda;Plakobranchidae	Plakobranchidae	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
order	Cellular organisms;Eukaryota;Amorphea;Metazoa;Mollusca;Gastropoda;Nudibranchia	Nudibranchia	None	None	None	None	None	None	6.5	None	None	5.0	None	None	None	1.0	None	None	None	11.0	7.0	None	10.0	None	None	4.5	6.5	6.5	11.0	None	None	None	None	None	None	None	None	None	None	None
order	Cellular organisms;Eukaryota;Amorphea;Metazoa;Mollusca;Gastropoda;Pleurobranchida	Pleurobranchida	None	None	None	None	None	None	None	None	None	2.5	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
order	Cellular organisms;Eukaryota;Amorphea;Metazoa;Mollusca;Gastropoda;Patellidae	Patellidae	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
order	Cellular organisms;Eukaryota;Amorphea;Metazoa;Mollusca;Gastropoda;Lepetellida	Lepetellida	None	None	None	None	None	None	None	None	2.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
order	Cellular organisms;Eukaryota;Amorphea;Metazoa;Mollusca;Gastropoda;Trochida	Trochida	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	3.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
