Rank	Taxonpath	Taxon	Pelagic01_2000uM	Pelagic01_1000uM	Pelagic1_500uM	Pelagic1_100uM	Pelagic1_Placa	LEK-01_Placa	LEK-01_100uM	LEK-01_500uM	LEK-02_Placa	LEK-02_100uM	LEK-02_500uM	LEK-02_2000uM	LEK-03_Placa	LEK-03_100uM	LEK-03_500uM	LEK-03_2000uM	PAS-01_Placa	PAS-01_100uM	PAS-01_500uM	PAS-02_Placa	PAS-02_100uM	PAS-02_500uM	PAS-02_2000uM	PAS-03_Placa	PAS-03_100uM	PAS-03_500uM	PAS-03_2000uM	ZUM-01_Placa	ZUM-01_100uM	ZUM-01_500uM	ZUM-01_2000uM	ZUM-02_Placa	ZUM-02_100uM	ZUM-02_500uM	ZUM-02_2000uM	ZUM-03_Placa	ZUM-03_100uM	ZUM-03_500uM
order	Cellular organisms;Eukaryota;Amorphea;Metazoa;Annelida;Polychaeta;Paraonidae	Paraonidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
order	Cellular organisms;Eukaryota;Amorphea;Metazoa;Bryozoa;Gymnolaemata;Cheilostomatida	Cheilostomatida	0	0	0	1	1	2	3	0	3	1	3	3	3	2	0	2	2	4	3	4	4	4	4	4	3	3	3	0	0	0	0	0	0	0	0	0	0	0
order	Cellular organisms;Eukaryota;Amorphea;Metazoa;Bryozoa;Gymnolaemata;Ctenostomatida	Ctenostomatida	0	0	1	0	1	1	1	0	0	1	0	0	0	0	0	0	1	2	1	1	1	2	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
order	Cellular organisms;Eukaryota;Amorphea;Metazoa;Mollusca;Bivalvia;Cardiida	Cardiida	0	0	1	1	0	0	0	1	0	1	0	0	0	1	1	0	0	1	0	0	1	0	0	0	2	0	0	0	1	1	0	0	1	1	0	0	1	1
order	Cellular organisms;Eukaryota;Amorphea;Metazoa;Mollusca;Bivalvia;Myida	Myida	3	3	3	3	3	2	2	2	2	3	2	2	3	2	2	2	3	3	3	3	3	3	3	3	3	3	3	1	2	2	0	1	3	1	0	1	2	0
order	Cellular organisms;Eukaryota;Amorphea;Metazoa;Mollusca;Bivalvia;Venerida	Venerida	0	0	1	0	1	1	0	0	0	1	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
order	Cellular organisms;Eukaryota;Amorphea;Metazoa;Mollusca;Bivalvia;Limoida	Limoida	0	0	0	0	0	0	0	1	0	1	1	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0
order	Cellular organisms;Eukaryota;Amorphea;Metazoa;Mollusca;Bivalvia;Mytiloida	Mytiloida	9	8	7	8	9	5	5	2	5	6	4	3	5	4	4	3	5	3	6	5	3	1	5	6	1	5	6	2	3	0	0	3	5	3	0	5	0	3
order	Cellular organisms;Eukaryota;Amorphea;Metazoa;Mollusca;Bivalvia;Ostreida	Ostreida	4	2	1	2	4	1	0	0	1	0	0	0	1	0	1	0	2	0	0	2	1	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0
order	Cellular organisms;Eukaryota;Amorphea;Metazoa;Mollusca;Cephalopoda;Sepiida	Sepiida	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	1	1
order	Cellular organisms;Eukaryota;Amorphea;Metazoa;Mollusca;Gastropoda;Cerithiidae	Cerithiidae	0	0	0	1	0	3	3	4	4	5	4	4	4	5	3	4	2	3	3	1	0	1	5	0	1	2	5	3	2	2	4	1	4	3	4	2	2	2
order	Cellular organisms;Eukaryota;Amorphea;Metazoa;Mollusca;Gastropoda;Cerithiopsidae	Cerithiopsidae	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
order	Cellular organisms;Eukaryota;Amorphea;Metazoa;Mollusca;Gastropoda;Triphoridae	Triphoridae	0	0	0	1	0	2	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
order	Cellular organisms;Eukaryota;Amorphea;Metazoa;Mollusca;Gastropoda;Littorinimorpha	Littorinimorpha	2	0	3	2	2	3	5	7	4	7	4	5	3	6	4	2	0	3	1	0	3	0	3	0	1	0	3	2	5	4	1	0	5	4	1	2	3	2
order	Cellular organisms;Eukaryota;Amorphea;Metazoa;Mollusca;Gastropoda;Neogastropoda	Neogastropoda	0	0	2	2	2	2	1	3	3	2	1	4	2	0	2	4	2	4	2	3	1	2	7	3	1	3	10	4	2	3	6	0	3	4	2	1	0	1
order	Cellular organisms;Eukaryota;Amorphea;Metazoa;Mollusca;Gastropoda;Plakobranchidae	Plakobranchidae	0	0	0	0	0	0	1	0	0	1	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
order	Cellular organisms;Eukaryota;Amorphea;Metazoa;Mollusca;Gastropoda;Nudibranchia	Nudibranchia	1	1	2	4	3	1	6	0	0	5	1	0	0	1	0	0	0	9	7	5	8	8	4	4	6	6	7	1	0	2	0	0	2	1	0	0	0	1
order	Cellular organisms;Eukaryota;Amorphea;Metazoa;Mollusca;Gastropoda;Pleurobranchida	Pleurobranchida	0	0	0	1	0	2	2	1	0	2	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
order	Cellular organisms;Eukaryota;Amorphea;Metazoa;Mollusca;Gastropoda;Patellidae	Patellidae	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
order	Cellular organisms;Eukaryota;Amorphea;Metazoa;Mollusca;Gastropoda;Lepetellida	Lepetellida	0	0	0	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	2	0	0	2	0	0
order	Cellular organisms;Eukaryota;Amorphea;Metazoa;Mollusca;Gastropoda;Trochida	Trochida	0	0	1	0	0	3	1	1	1	2	1	3	1	1	0	3	1	3	1	1	0	0	3	1	0	1	3	2	1	0	1	1	3	1	1	2	3	2
order	Cellular organisms;Eukaryota;Amorphea;Metazoa;Mollusca;Polyplacophora;Chitonida	Chitonida	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	1	1	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	2	0	0
order	Cellular organisms;Eukaryota;Amorphea;Metazoa;Nemertea;Enopla;Monostilifera	Monostilifera	1	0	0	1	1	0	2	0	0	1	1	0	0	1	0	0	0	0	0	1	1	2	1	1	0	2	0	0	2	1	1	0	2	1	1	0	0	0
order	Cellular organisms;Eukaryota;Amorphea;Metazoa;Nemertea;Palaeonemertea;Cephalotrichidae	Cephalotrichidae	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	0	1	1	1	1	0	1	1	1	0	0	0	1	1	0	0	0	2	0	0	0	0	0
order	Cellular organisms;Eukaryota;Amorphea;Metazoa;Nemertea;Pilidiophora;Heteronemertea	Heteronemertea	0	0	0	0	0	1	1	1	1	0	0	1	0	1	2	0	0	3	2	0	1	1	1	1	0	1	0	0	3	2	0	0	4	1	0	0	3	2
order	Cellular organisms;Eukaryota;Amorphea;Metazoa;Platyhelminthes;Rhabditophora;Macrostomida	Macrostomida	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
order	Cellular organisms;Eukaryota;Amorphea;Metazoa;Platyhelminthes;Rhabditophora;Polycladida	Polycladida	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
order	Cellular organisms;Eukaryota;Amorphea;Metazoa;Cnidaria;Anthozoa;Actiniaria	Actiniaria	1	1	1	1	1	1	1	0	0	1	1	1	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	2	1	1	1	2	1	1	0	0	1
order	Cellular organisms;Eukaryota;Amorphea;Metazoa;Cnidaria;Anthozoa;Corallimorpharia	Corallimorpharia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
order	Cellular organisms;Eukaryota;Amorphea;Metazoa;Cnidaria;Anthozoa;Zoantharia	Zoantharia	0	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
order	Cellular organisms;Eukaryota;Amorphea;Metazoa;Cnidaria;Hydrozoa;Anthoathecata	Anthoathecata	5	6	7	8	8	1	1	0	2	2	1	0	0	1	1	0	1	7	5	4	5	4	4	4	4	6	4	0	3	2	0	0	4	2	0	1	1	0
order	Cellular organisms;Eukaryota;Amorphea;Metazoa;Cnidaria;Hydrozoa;Leptothecata	Leptothecata	12	10	14	17	16	17	23	14	13	12	10	8	13	12	6	8	12	26	18	16	19	20	18	20	23	15	13	12	16	13	1	10	18	15	2	13	10	4
order	Cellular organisms;Eukaryota;Amorphea;Metazoa;Cnidaria;Hydrozoa;Siphonophorae	Siphonophorae	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
order	Cellular organisms;Eukaryota;Amorphea;Metazoa;Porifera;Demospongiae;Axinellida	Axinellida	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
order	Cellular organisms;Eukaryota;Amorphea;Metazoa;Porifera;Demospongiae;Biemnida	Biemnida	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
order	Cellular organisms;Eukaryota;Amorphea;Metazoa;Porifera;Demospongiae;Clionaida	Clionaida	0	0	0	0	0	0	3	2	0	3	1	2	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
order	Cellular organisms;Eukaryota;Amorphea;Metazoa;Porifera;Demospongiae;Suberitida	Suberitida	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	2	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
order	Cellular organisms;Eukaryota;Amorphea;Metazoa;Porifera;Demospongiae;Tethyida	Tethyida	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0
order	Cellular organisms;Eukaryota;Amorphea;Metazoa;Porifera;Demospongiae;Dendroceratida	Dendroceratida	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
order	Cellular organisms;Eukaryota;Amorphea;Metazoa;Porifera;Homoscleromorpha;Homosclerophorida	Homosclerophorida	0	0	0	0	0	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	2	1	1	1	3	3	3	0	1	1	1	0	3	2	1
family	Cellular organisms;Eukaryota;Amorphea;Metazoa;Chordata;Actinopteri;Labriformes;Labridae	Labridae	0	0	0	0	0	0	0	1	0	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
family	Cellular organisms;Eukaryota;Amorphea;Metazoa;Chordata;Actinopteri;Perciformes;Serranidae	Serranidae	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
family	Cellular organisms;Eukaryota;Amorphea;Metazoa;Chordata;Actinopteri;Gobiiformes;Gobiidae	Gobiidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
